®É¶¡,x,y,z,roll,pitch,»~®t­È
15:00:20,0.05,0.09,-0.83,-176,1.28,0.36
15:00:20,0.02,0.03,-0.93,-177.15,1.24,0.1
15:00:21,-0.02,0.07,-1.18,-176.84,0.13,0.25
15:00:22,-0.01,0.04,-1.2,-178.12,0.18,0.02
15:00:22,0,0.07,-1.02,-177.14,0.2,0.18
15:00:22,0.03,0.08,-0.81,-175.89,0.94,0.21
15:00:23,-0.01,0.01,-1.05,-177.83,0.11,0.24
15:00:23,0,0.04,-1.05,-177.88,-0.03,0
15:00:23,0,0.03,-0.85,-178,0.1,0.2
15:00:24,0,0.05,-0.92,-177.75,-0.2,0.07
15:00:25,0.01,0.02,-1.13,-178.9,0.71,0.21
15:00:26,-0.1,0,-1.16,-179.85,-2.14,0.03
15:00:27,0.01,0.04,-1,-178.86,-0.92,0.16
15:00:27,0,0.03,-1.2,-178.77,-0.53,0.2
15:00:27,0.03,0.14,-0.89,-174.62,0.68,0.31
15:00:28,0,0.09,-1.16,-175.17,0,0.27
15:00:29,0,0.09,-1.07,-175.43,0.38,0.09
15:00:30,0.02,0.04,-0.82,-176.14,0.82,0.25
15:00:30,0.01,0.04,-1.03,-177.03,0.73,0.21
15:00:30,0,0.11,-1.2,-175.9,0.33,0.17
15:00:30,0.02,0.05,-1.13,-176.67,0.77,0.07
15:00:31,0,0.07,-0.89,-176.15,0.54,0.24
15:00:31,0.03,0.06,-1.18,-176.77,1,0.29
15:00:32,-0.01,0.04,-0.85,-176.92,0.21,0.33
15:00:32,-0.02,0.02,-1.04,-178.07,-0.34,0.19
15:00:32,-0.02,0.08,-1.23,-177.02,-0.56,0.19
15:00:32,0.01,0.05,-1.1,-177.29,0.02,0.13
15:00:33,0.03,0.04,-0.79,-177.35,0.96,0.31
15:00:33,0.02,0.05,-0.99,-177.32,1.04,0.2
15:00:33,0,0.1,-1.23,-176.29,0.36,0.24
15:00:35,0.02,0.04,-0.98,-176.97,0.72,0.25
15:00:35,-0.01,0.06,-1.18,-177.07,0.14,0.2
15:00:36,0.02,0.08,-0.85,-176.06,0.76,0.33
15:00:37,0.02,0.04,-1.09,-177.14,0.46,0.24
15:00:37,0,0.04,-0.84,-177.35,0.13,0.25
15:00:37,-0.02,0.04,-0.97,-177.41,-0.41,0.13
15:00:38,0.01,0.05,-1.2,-177.6,0.13,0.23
15:00:38,-0.01,0.06,-0.91,-176.89,-0.27,0.29
15:00:38,0.05,0.04,-0.82,-176.95,1.46,0.09
15:00:39,0,0.04,-1.14,-177.66,0.76,0.32
15:00:39,-0.02,0.05,-0.98,-177.31,0.32,0.16
15:00:40,0.02,0.06,-1.21,-177.17,0.76,0.23
